IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
111.118.43.151,31228,443,TRUE,ICN,Asia Pacific,Seoul,322,1.53
27.35.13.136,31703,443,TRUE,ICN,Asia Pacific,Seoul,103,1.11
59.187.254.31,11505,443,TRUE,ICN,Asia Pacific,Seoul,144,11
59.187.242.236,27677,80,FALSE,ICN,Asia Pacific,Seoul,136,11
101.235.199.143,30052,443,TRUE,ICN,Asia Pacific,Seoul,107,11
59.187.242.236,10653,443,TRUE,ICN,Asia Pacific,Seoul,132,11
39.126.124.220,16316,443,TRUE,ICN,Asia Pacific,Seoul,140,11
59.187.242.236,14402,443,TRUE,ICN,Asia Pacific,Seoul,135,11
59.187.254.31,13036,443,TRUE,ICN,Asia Pacific,Seoul,128,11
59.187.254.31,17758,443,TRUE,ICN,Asia Pacific,Seoul,129,11
59.187.242.236,39710,443,TRUE,ICN,Asia Pacific,Seoul,132,11
59.187.254.31,21081,443,TRUE,ICN,Asia Pacific,Seoul,125,11
59.187.242.236,35087,443,TRUE,ICN,Asia Pacific,Seoul,135,11
59.187.242.236,19948,443,TRUE,ICN,Asia Pacific,Seoul,132,11
59.187.254.31,35620,443,TRUE,ICN,Asia Pacific,Seoul,129,11
59.187.242.236,15432,443,TRUE,ICN,Asia Pacific,Seoul,132,11
59.187.254.31,11590,443,TRUE,ICN,Asia Pacific,Seoul,128,11
101.235.199.143,30067,443,TRUE,ICN,Asia Pacific,Seoul,109,11
13.87.92.42,443,443,TRUE,LHR,Europe,London,278,11
40.66.63.160,80,80,FALSE,CDG,Europe,Paris,274,11
20.214.204.10,8443,443,TRUE,ICN,Asia Pacific,Seoul,142,11
20.27.111.153,443,443,TRUE,KIX,Asia Pacific,Osaka,118,11
20.250.70.204,2083,443,TRUE,FRA,Europe,Frankfurt,262,11
20.174.56.54,8443,443,TRUE,BOM,Asia Pacific,Mumbai,220,11
51.140.44.206,2086,2086,FALSE,LHR,Europe,London,289,11
20.220.204.217,443,443,TRUE,YYZ,North America,Toronto,282,11
74.249.233.213,443,443,TRUE,ORD,North America,Chicago,217,11
52.151.81.2,2083,443,TRUE,LHR,Europe,London,290,11
20.218.152.22,8443,443,TRUE,FRA,Europe,Frankfurt,262,11
51.140.154.44,2086,2086,FALSE,LHR,Europe,London,287,11
20.218.152.22,2053,443,TRUE,FRA,Europe,Frankfurt,263,11
20.90.163.76,2053,443,TRUE,LHR,Europe,London,290,11
20.203.59.95,2053,443,TRUE,BOM,Asia Pacific,Mumbai,189,11
51.107.6.231,8443,443,TRUE,FRA,Europe,Frankfurt,283,11
20.93.17.174,443,443,TRUE,DUB,Europe,Dublin,288,11
20.246.144.214,443,443,TRUE,IAD,North America,Ashburn,292,11
